Country,State
Italy,PERUGIA
Italy,PESARO E URBINO
Italy,PESCARA
Italy,PIACENZA
Italy,PISA
Italy,PISTOIA
Italy,PORDENONE
Italy,POTENZA
Italy,PRATO
Italy,RAGUSA
Italy,RAVENNA
Italy,RIETI
Italy,RIMINI
Italy,ROVIGO
Italy,SALERNO
Italy,SASSARI
Italy,SAVONA
Italy,SIENA
Italy,SONDRIO
Italy,TARANTO
Italy,TERAMO
Italy,TERNI
Italy,TRAPANI
Italy,TRENTO
Italy,TREVISO
Italy,TRIESTE
Italy,UDINE
Italy,VARESE
Italy,VERBANO-CUSIO-OSSOLA
Italy,VERCELLI
Italy,VERONA
Italy,VIBO VALENTIA
Italy,VICENZA
Italy,VITERBO
Japan,AICHI
Japan,AKITA
Japan,AOMORI
Japan,CHIBA
Japan,EHIME
Japan,FUKUI
Japan,FUKUOKA
Japan,FUKUSHIMA
Japan,GIFU
Japan,HIROSHIMA
Japan,HOKKAIDO
Japan,HYOGO
Japan,IBARAKI
Japan,ISHIKAWA
Japan,IWATE
Japan,KAGAWA
Japan,KAGOSHIMA
Japan,KANAGAWA
Japan,KOCHI
Japan,KUMAMOTO
Japan,KYOTO
Japan,MIE
Japan,MIYAGI
Japan,MIYAZAKI
Japan,NAGANO
Japan,NAGASAKI
Japan,NARA
Japan,NIIGATA
Japan,OITA
Japan,OKAYAMA
Japan,OKINAWA
Japan,OSAKA
Japan,SAGA
Japan,SAITAMA
Japan,SHIGA
Japan,SHIMANE
Japan,SHIZUOKA
Japan,TOCHIGI
Japan,TOKUSHIMA
Japan,TOKYO
Japan,TOTTORI
Japan,TOYAMA
Japan,WAKAYAMA
Japan,YAMAGATA
Japan,YAMAGUCHI
Japan,YAMANASHI
Macao,Aguascalientes
Macao,Chiapas
Macao,Chihuahua
Macao,Coahuila
Macao,Distrito Federal
Macao,Guanajuato
Macao,Hidalgo
Macao,Jalisco
Malaysia,Punjab
Mexico,AGUASCALIENTES
Mexico,BAJA CALIFORNIA
Mexico,BAJA CALIFORNIA SUR
Mexico,CAMPECHE
Mexico,CHIAPAS
Mexico,CHIHUAHUA
Mexico,COAHUILA
Mexico,COLIMA
Mexico,DISTRITO FEDERAL
Mexico,DURANGO
Mexico,GUANAJUATO
Mexico,GUERRERO
Mexico,HIDALGO
Mexico,JALISCO
Mexico,MICHOACAN
Mexico,MORELOS
Mexico,NAYARIT
Mexico,NUEVO LEON
Mexico,OAXACA
Mexico,PUEBLA
Mexico,QUERETARO
Mexico,QUINTANA ROO
Mexico,SAN LUIS POTOSI
Mexico,SINALOA
Mexico,SONORA
Mexico,TABASCO
Mexico,TAMAULIPAS
Mexico,TLAXCALA
Mexico,VERACRUZ
Mexico,YUCATAN
Mexico,ZACATECAS
"Micronesia, Federated States Of",Palau
Nepal,Karnataka
Netherlands,DRENTHE
Netherlands,FLEVOLAND
Netherlands,FRIESLAND
Netherlands,GELDERLAND
Netherlands,GRONINGEN
Netherlands,LIMBURG
Netherlands,NOORD-BRABANT
Netherlands,NOORD-HOLLAND
Netherlands,OVERIJSSEL
Netherlands,UTRECHT
Netherlands,ZEELAND
Netherlands,ZUID-HOLLAND
New Caledonia,Puebla
Nicaragua,San Juan
Northern Mariana Islands,PALAU
Pakistan,Gujarat
Pakistan,Karnataka
Pakistan,Punjab
Paraguay,MISIONES
Peru,AMAZONAS
Philippines,Manipur
Portugal,SANTA CRUZ
Republic of Korea,BUSAN
Republic of Korea,DAEGU
Republic of Korea,DAEJEON
Republic of Korea,GWANGJU
Republic of Korea,INCHEON
Republic of Korea,JEJU
Republic of Korea,SEOUL
Republic of Korea,ULSAN
Singapore,Karnataka
Spain,ASTURIAS
Spain,CEUTA
Spain,CORDOBA
Spain,MADRID
Spain,MELILLA
Spain,MURCIA
Spain,NAVARRA
Spain,VALENCIA
Suriname,Para
Sweden,Ã–REBRO
Sweden,Ã–STERGÃ–TLAND
Sweden,BLEKINGE
Sweden,DALARNA
Sweden,GÃ„VLEBORG
Sweden,GOTLAND
Sweden,HALLAND
Sweden,JÃ–NKÃ–PING
Sweden,JÃ„MTLAND
Sweden,KALMAR
Sweden,KRONOBERG
Sweden,NORRBOTTEN
Sweden,SÃ–DERMANLAND
Sweden,SKÃ…NE
Sweden,STOCKHOLM
Sweden,UPPSALA
Sweden,VÃ„RMLAND
Sweden,VÃ„STERBOTTEN
Sweden,VÃ„STERNORRLAND
Sweden,VÃ„STMANLAND
Sweden,VÃ„STRA GÃ–TALAND
Thailand,Maharashtra
Trinidad and Tobago,San Juan
Trinidad and Tobago,Santa Cruz
Trinidad and Tobago,Victoria
United Kingdom,Ohio
United States,Alabama
United States,Alaska
United States,Arizona
United States,Arkansas
United States,California
United States,Colorado
United States,Connecticut
United States,Delaware
United States,District of Columbia
United States,Florida
United States,Georgia
United States,Hawaii
United States,Idaho
United States,Illinois
United States,Indiana
United States,Iowa
United States,Kansas
United States,Kentucky
United States,Louisiana
United States,Maine
United States,Maryland
United States,Massachusetts
United States,Michigan
United States,Minnesota
United States,Mississippi
United States,Missouri
United States,Montana
United States,Nebraska
United States,Nevada
United States,New Hampshire
United States,New Jersey
United States,New Mexico
United States,New York
United States,North Carolina
United States,North Dakota
United States,Ohio
United States,Oklahoma
United States,Oregon
United States,Pennsylvania
United States,Puerto Rico
United States,Rhode Island
United States,South Carolina
United States,South Dakota
United States,Tennessee
United States,Texas
United States,Utah
United States,Vermont
United States,Virgin Islands
United States,Virginia
United States,Washington
United States,West Virginia
United States,Wisconsin
United States,Wyoming
Uruguay,FLORIDA
Uruguay,RIO NEGRO
Venezuela,DISTRITO FEDERAL
Venezuela,Florida
